 Linear2 Linear1 Linear0
10 [0.886] [0.8676] [0.5313]
20 [0.9738] [0.8898] [0.7183]
40 [0.9799] [0.9707] [0.8113]
80 [0.9798] [0.9672] [0.8751]
160 [0.9784] [0.9813] [0.9418]
320 [0.9759] [0.9828] [0.9517]
640 [0.9826] [0.9829] [0.9563]
1280 [0.983] [0.9832] [0.9635]
2560 [0.9827] [0.9833] [0.9703]
5120 [0.9828] [0.9828] [0.9746]
10240 [0.983] [0.9836] [0.9781]
20480 [0.983] [0.9837] [0.9807]
