 Linear2 Linear1 Linear0
10 [0.951] [0.8868] [0.5498]
20 [0.9741] [0.9299] [0.5694]
40 [0.9778] [0.9567] [0.7185]
80 [0.9773] [0.9737] [0.85]
160 [0.9787] [0.9743] [0.9305]
320 [0.9775] [0.9805] [0.9439]
640 [0.9801] [0.9811] [0.9527]
1280 [0.9819] [0.9811] [0.9617]
2560 [0.9813] [0.9813] [0.9681]
5120 [0.982] [0.9823] [0.9731]
10240 [0.9821] [0.9825] [0.9782]
20480 [0.9819] [0.9832] [0.981]
