 Linear2 Linear1 Linear0
10 [0.9665] [0.8759] [0.5107]
20 [0.9806] [0.8865] [0.6224]
40 [0.9745] [0.9683] [0.8128]
80 [0.9781] [0.9794] [0.8662]
160 [0.9783] [0.9822] [0.9342]
320 [0.9787] [0.983] [0.951]
640 [0.983] [0.9831] [0.9578]
1280 [0.9816] [0.9835] [0.9646]
2560 [0.9832] [0.9836] [0.9702]
5120 [0.9839] [0.9848] [0.9747]
10240 [0.9846] [0.9852] [0.9778]
20480 [0.9846] [0.9854] [0.9819]
