 Linear2 Linear1 Linear0
10 [0.9574] [0.9509] [0.8429]
20 [0.9513] [0.9649] [0.7974]
40 [0.945] [0.9647] [0.8794]
80 [0.9481] [0.96] [0.9397]
160 [0.9406] [0.9593] [0.9569]
320 [0.9281] [0.9533] [0.9575]
640 [0.9289] [0.9553] [0.9554]
1280 [0.929] [0.9615] [0.9587]
2560 [0.9397] [0.9614] [0.9628]
5120 [0.9466] [0.9639] [0.9643]
10240 [0.9553] [0.965] [0.9684]
20480 [0.9599] [0.9678] [0.9706]
