 X Y
0 -0.0005913589354020748 -0.0005676823819422314
1 -0.0006799146511785665 -0.00031372081047916346
2 -0.0007901309904485856 -0.00024309045001015363
3 -0.0009502543327517998 -0.00021363323968317773
4 -0.000592521417015723 -0.00017902932854162322
5 -0.0006547564815761696 -0.00013674292686870296
6 -0.0007097142684854503 -0.00010459429247469305
7 -0.0007118429720635258 -9.240654092865791e-05
8 -0.00028104406179186285 -7.732631240645025e-05
9 -0.0008559517079481373 -5.0474498208686496e-05
10 -0.0007691988522489356 -3.833623677279874e-05
11 -0.0007416338917196985 -2.7855521232484075e-05
12 -0.0005155729867539175 -2.4587751772159187e-05
13 -0.0005768036238976524 -1.8789413042812266e-05
14 -0.0005430800911898797 -2.2031539292247208e-05
15 -0.000531986537535391 -1.613641996201966e-05
16 -0.00045920987653299275 -1.9897015611415575e-05
17 -0.0004680309128918369 -1.9121720081465875e-05
18 -0.0003397159604753694 -1.9671839855590098e-05
19 -0.0006614541197116049 -1.531188904262676e-05
20 -0.000505897026784994 -1.8521499928840544e-05
21 -0.0005927024663895624 -1.4557824218035424e-05
22 -0.00027338317741356006 -2.209727713397765e-05
23 -0.0004979306009420302 -1.6098128276163357e-05
24 -0.0005988792006849733 -1.625464220884179e-05
25 -0.00046496810073144414 -1.8480775129591297e-05
26 -0.0004029663868694224 -1.2823198776044736e-05
27 -0.00040282605566148064 -1.8954724126476848e-05
28 -0.00036814970831967826 -1.597075200403518e-05
29 -0.0003606399622058597 -1.594487795250708e-05
30 -0.00033289647164974796 -1.58385864520005e-05
31 -0.0003054086065869725 -1.6104508233800572e-05
32 -0.0004370562450965585 -1.214211143319763e-05
33 -0.00016460098204152537 -1.870606232572485e-05
34 -0.00029551798870463316 -1.2784181401515618e-05
35 -0.00028181179397423724 -1.8564547727844993e-05
36 -0.00031026244094526327 -1.5173362106339544e-05
37 -0.00025502266760310554 -1.3256181519680214e-05
38 -0.0002489881178740932 -1.620904454945499e-05
39 -0.00040698772630630393 -1.5200956849291114e-05
40 -0.0002987060557912897 -1.3274042482389683e-05
41 -0.00035437401729049506 -1.551701217635065e-05
42 -0.00025271492190340645 -1.5355021748532596e-05
43 -0.00028414207051622223 -1.4790730481898342e-05
44 -0.00016946324075643832 -1.6272184770671053e-05
45 -0.00018604191556105925 -1.267267475992526e-05
46 -0.00021444973230701567 -9.333298268311383e-06
47 -0.0001829266773690695 -1.737786234061942e-05
48 -9.396519814418931e-05 -1.562624092497717e-05
49 -0.0003158600929264839 -1.4960611944864279e-05
50 -0.00012842175601172312 -1.4740852984013381e-05
51 -0.00014416984232020513 -1.3272666725253107e-05
52 -6.179503587066618e-05 -1.6291392303769745e-05
53 -0.00012152545164708059 -1.3111367492679178e-05
54 -0.00016335532217793316 -1.5743384588817584e-05
55 -0.00017432336485878356 -1.1578803229281026e-05
56 -0.00019913282181717391 -1.5101400854071321e-05
57 -0.00018002193399898687 -1.5235110650375019e-05
58 -0.00010889694572259218 -1.151606498917623e-05
59 -8.035700455138146e-05 -1.4579868172308658e-05
60 -0.00010063768659009892 -1.1079550649111088e-05
61 -0.00010650812852543983 -1.5369808816077703e-05
62 -0.00011418611899103195 -1.5335799622060228e-05
63 -9.805633636069434e-05 -1.0590096856029624e-05
64 -4.407340273303524e-05 -1.2977345928846941e-05
65 -1.530769809104099e-05 -1.6160801509421775e-05
66 -1.6581146391453565e-05 -9.622339934025734e-06
67 -0.00013898795555502262 -1.5194433611257803e-05
68 -3.751105976495308e-05 -1.3508869764896539e-05
69 -9.87515301892051e-05 -1.2913775866442595e-05
