 Linear2 Linear1 Linear0
10 [0.9715] [0.9347] [0.4943]
20 [0.9805] [0.9572] [0.5618]
40 [0.9799] [0.9733] [0.7984]
80 [0.9811] [0.9824] [0.884]
160 [0.9745] [0.983] [0.9424]
320 [0.9748] [0.9832] [0.9519]
640 [0.9805] [0.9829] [0.9594]
1280 [0.9811] [0.9836] [0.9659]
2560 [0.9817] [0.9843] [0.9703]
5120 [0.984] [0.9838] [0.9735]
10240 [0.9848] [0.9835] [0.9791]
20480 [0.9849] [0.984] [0.9816]
