 Linear2 Linear1 Linear0
10 [0.8855] [0.7986] [0.4957]
20 [0.9688] [0.897] [0.6176]
40 [0.9771] [0.9167] [0.7725]
80 [0.9778] [0.9645] [0.8572]
160 [0.9812] [0.9684] [0.9187]
320 [0.9813] [0.9763] [0.9444]
640 [0.9817] [0.98] [0.9513]
1280 [0.9821] [0.9797] [0.9611]
2560 [0.9826] [0.9812] [0.967]
5120 [0.983] [0.9817] [0.9734]
10240 [0.9827] [0.9822] [0.9774]
20480 [0.9834] [0.9831] [0.9809]
