 X Y
0 -0.0007416229872476487 -0.0009391126888138908
1 -0.0006309467412176586 -0.0006127712272462391
2 -0.0005022237698237101 -0.0005141046075593858
3 -0.00034461205913907005 -0.00038161270675205047
4 -0.00012700259685516357 -0.00035331965911956063
5 -0.00034357642843609764 -0.00036043815669559295
6 -0.00023996652591796148 -0.00030829402662458874
7 -0.0005918510612987337 -0.0003216536272139776
8 -0.0002955730472292219 -0.00026280397460574196
9 -0.00033861540612720306 -0.0002895430439994449
10 -0.0007567348934355236 -0.00021961757114955356
11 -0.0002725163385981605 -0.0002411618119194394
12 -0.0003180372573080517 -0.0002442733162925357
13 -0.0002102706403959365 -0.00019815244844981601
14 -0.00037239030713126774 -0.00019210860842750187
15 -0.00034521626574652534 -0.0001729953856695266
16 -0.000457746996766045 -0.00016823517424719675
17 -0.0003903660745847793 -0.00017926416226795742
18 -0.000340101264771961 -0.00015700608491897583
19 -0.0004761279338882083 -0.00014680482092357817
20 -0.000314466655254364 -0.0001090491811434428
21 -0.0003221386245318821 -0.00011793169237318493
22 -0.00013810680026099797 -0.0001462697982788086
23 -0.00039151523794446675 -0.00011759499708811443
24 -0.00028046326977866035 -0.00011103139037177676
25 -0.00027207746392204647 -0.00011472049213591076
26 -6.464797826040358e-05 -0.00010689809208824521
27 -0.00022937286467779251 -9.873970633461362e-05
28 -0.00044401202883039204 -0.00012164350066866194
29 -0.00031111566793350944 -9.3951111748105e-05
30 -0.0005925702197211129 -8.702597447804042e-05
31 -0.0006676532682918367 -9.414163373765492e-05
32 -0.0006608349226769947 -8.04740758169265e-05
33 -0.0002478045367059254 -3.937170619056338e-05
34 -0.00041183545475914363 -4.724306719643729e-05
35 -0.0005026810935565404 -6.903814417975289e-05
36 -0.0005718756999288287 -6.613099858874367e-05
37 -0.00021158584526606968 -4.580120245615641e-05
38 -0.0006513127258845738 -6.432299103055681e-05
39 -0.00020580383993330456 -5.728893336795625e-05
40 -0.0008688043980371384 -5.240702912920997e-05
41 -0.0006177464411372231 -4.700677735464913e-05
42 -0.00021454266139439175 -3.60728729338873e-05
43 -0.000519102882771265 -2.072751522064209e-05
44 -0.0002915667636053903 -4.3303129218873525e-05
45 -0.0004476177550497509 -3.06853935832069e-05
46 2.0241808323633103e-05 -2.776192767279489e-05
47 -0.00015702453397569202 -2.338524375643049e-05
48 -3.782730726968675e-05 -3.6191727433885846e-05
49 -0.0003570527547881717 -2.5540590286254883e-05
50 -0.00017141054073969522 -2.6211142539978027e-05
51 -0.00027615506024587723 -2.9762940747397287e-05
52 -0.0002116858959197998 -1.9687981832595098e-05
53 -0.0004127979988143558 -3.88448437054952e-05
54 -0.000396848079704103 -2.6079160826546805e-05
55 -0.00016285620984576998 -1.7007191975911457e-05
56 -9.374249549139113e-06 -2.6415501322065082e-05
57 -0.000384331104301271 -2.7199586232503254e-05
58 -0.00017221023639043173 -2.2659699122111004e-05
59 -0.00041486287400836037 -2.0459649108705068e-05
60 -0.00021930783987045288 -2.20647170430138e-05
61 -7.692724466323853e-05 -3.65422595114935e-05
62 -0.0001207703635806129 -2.3094316323598225e-05
63 -0.0005462542176246643 -1.8956405775887625e-05
64 -0.000706666282245091 -3.615057184582665e-05
65 -0.00029503092879340763 -3.673632939656576e-05
66 -0.0001968688198498317 -2.578113760266985e-05
67 -0.00020659856853030977 -2.5759850229535785e-05
