 Linear2 Linear1 Linear0
10 [0.977] [0.6753] [0.4709]
20 [0.9762] [0.7632] [0.5898]
40 [0.9793] [0.8948] [0.7849]
80 [0.9779] [0.9481] [0.8566]
160 [0.98] [0.96] [0.9076]
320 [0.9797] [0.9702] [0.939]
640 [0.979] [0.9714] [0.9493]
1280 [0.9804] [0.9765] [0.9589]
2560 [0.9802] [0.9791] [0.9676]
5120 [0.9799] [0.979] [0.9704]
10240 [0.9812] [0.9797] [0.9767]
20480 [0.9819] [0.9808] [0.9793]
