 Linear2 Linear1 Linear0
10 [0.5944] [0.5812] [0.38]
20 [0.722] [0.6697] [0.484]
40 [0.759] [0.7527] [0.6084]
80 [0.7795] [0.7852] [0.6634]
160 [0.8308] [0.8367] [0.7134]
320 [0.8403] [0.8471] [0.762]
640 [0.8449] [0.8537] [0.8132]
1280 [0.8491] [0.8582] [0.8342]
2560 [0.8563] [0.8709] [0.8551]
5120 [0.8613] [0.8753] [0.8768]
10240 [0.8661] [0.8815] [0.8923]
20480 [0.8693] [0.8916] [0.9004]
