 Linear4 Linear3 Linear2
10 "[0.9617, 0.9625, 0.966, 0.9629, 0.9645]" "[0.9714, 0.9644, 0.969, 0.969, 0.9668]" "[0.9544, 0.9611, 0.9634, 0.9584, 0.9629]"
20 "[0.9689, 0.9694, 0.971, 0.9683, 0.9708]" "[0.968, 0.972, 0.9657, 0.9734, 0.9703]" "[0.9693, 0.9601, 0.9648, 0.9633, 0.9658]"
40 "[0.9732, 0.9731, 0.9742, 0.971, 0.9749]" "[0.9758, 0.9752, 0.9753, 0.9758, 0.9743]" "[0.9748, 0.9735, 0.974, 0.9725, 0.9723]"
80 "[0.9744, 0.9769, 0.9752, 0.9768, 0.9769]" "[0.9747, 0.9746, 0.9763, 0.9756, 0.9778]" "[0.9762, 0.9779, 0.9729, 0.9691, 0.9761]"
160 "[0.9776, 0.9771, 0.9776, 0.9773, 0.9762]" "[0.976, 0.9778, 0.9766, 0.9762, 0.9774]" "[0.9777, 0.9751, 0.9786, 0.9784, 0.9753]"
320 "[0.9769, 0.9798, 0.9782, 0.9797, 0.9798]" "[0.9795, 0.978, 0.9801, 0.9795, 0.9789]" "[0.9769, 0.9779, 0.9772, 0.9796, 0.9773]"
640 "[0.9788, 0.98, 0.98, 0.9789, 0.9793]" "[0.9794, 0.9783, 0.9793, 0.9792, 0.9794]" "[0.9785, 0.978, 0.979, 0.9784, 0.9786]"
1280 "[0.9779, 0.9793, 0.9776, 0.9796, 0.9786]" "[0.9779, 0.9796, 0.9789, 0.9796, 0.9793]" "[0.9791, 0.9782, 0.9795, 0.9802, 0.9769]"
2560 "[0.9796, 0.9785, 0.9799, 0.9785, 0.9789]" "[0.9784, 0.9799, 0.98, 0.9802, 0.9802]" "[0.9798, 0.9784, 0.9796, 0.9782, 0.9799]"
5120 "[0.9789, 0.9799, 0.9796, 0.979, 0.9797]" "[0.9799, 0.9794, 0.9798, 0.9804, 0.9796]" "[0.9808, 0.9802, 0.9797, 0.9803, 0.98]"
10240 "[0.9801, 0.9795, 0.9798, 0.9799, 0.9797]" "[0.9797, 0.9805, 0.9802, 0.9799, 0.9795]" "[0.9808, 0.9778, 0.9807, 0.9808, 0.9797]"
20480 "[0.9801, 0.9805, 0.9807, 0.9803, 0.9803]" "[0.9804, 0.9801, 0.9798, 0.98, 0.98]" "[0.981, 0.9811, 0.9808, 0.9812, 0.9812]"
