 X Y
0 -0.00036496339907121455 -0.0005380136831172681
1 -0.0005440203064357454 -0.0003040021874456324
2 -0.0008906995389408875 -0.00021240335260318895
3 -0.0005472848918872681 -0.00018071965248114363
4 -0.0006593934225815314 -0.00012788432318600493
5 -0.0007436756439973995 -0.00011571357690031373
6 -0.0008503837786890843 -8.047116453364025e-05
7 -0.0008941049133016173 -6.641367413209714e-05
8 -0.0006721680068498494 -4.667377210835106e-05
9 -0.0007036219913501855 -4.140502956305814e-05
10 -0.0007571665559526523 -2.894170072853056e-05
11 -0.0006242243485509331 -3.046290869386787e-05
12 -0.0006840808510759108 -2.4925931980382343e-05
13 -0.00026403062783202894 -2.5918441917481926e-05
14 -0.0007449262138678987 -2.7721802149488035e-05
15 -0.0004509558179482096 -2.053992668872545e-05
16 -0.0006979212106505351 -2.7392640646196836e-05
17 -0.00044965817914092304 -2.1837581416056028e-05
18 -0.0006514129393397064 -1.4862555087122142e-05
19 -0.0005659982933532818 -2.0152439450861042e-05
20 -0.0005132654904682412 -2.1839071266841345e-05
21 -0.00041972838894084645 -1.717917753802745e-05
22 -0.00027594804907074343 -2.3929025457795188e-05
23 -0.00019733368703018226 -2.217763222945042e-05
24 -0.0005726789846018679 -2.529497452059023e-05
25 -0.00024633761760685857 -1.927243911812448e-05
26 -0.00029727189199325025 -2.2251485313615227e-05
27 -0.0004229188745475223 -2.0821529713875888e-05
28 -0.00037188653401669613 -2.2823495148253916e-05
29 -0.0003620392106940434 -2.101465046108618e-05
30 -9.319228664083018e-05 -2.226539545206942e-05
31 -0.00043098932195805077 -1.700144749336433e-05
32 -0.00033716393098702117 -2.5785985824644056e-05
33 -0.0005277321419208987 -1.7951245279054017e-05
34 -0.000169819857702296 -1.4250436028269281e-05
35 -0.0005489550345176645 -1.9680908973994758e-05
36 -0.0003261125880025561 -1.836167993368926e-05
37 -0.00038770082117485526 -2.019529488266703e-05
38 -0.00018942508411373508 -1.8076039850711823e-05
39 -0.00018299733981108054 -2.0060773164118795e-05
40 -0.00023082588425176774 -2.090865082805313e-05
41 -0.0004325046514471372 -2.0197685542609276e-05
42 -0.00020073975125948587 -2.3431563882576435e-05
43 -0.0003948117290594299 -2.6039869399831504e-05
44 -0.0003185589344073565 -1.9940973506269293e-05
45 -0.00021552553724104863 -2.1571098452704584e-05
46 -0.00016146560366719196 -1.7729209751909613e-05
47 -0.00022839526632572512 -1.852895448944847e-05
48 -7.217681231746646e-05 -2.8123922561138782e-05
49 -0.00019696773563185308 -2.346910201968291e-05
50 -0.0002739431065881354 -1.949398245057489e-05
51 -0.00024149426261753777 -1.8146926500009334e-05
52 -0.00012477463710936385 -2.314210431570681e-05
53 -0.00028629725310749815 -1.6169404966539127e-05
54 -0.0003129078176116672 -2.095043961691041e-05
55 -0.0001894871988187828 -2.0767761091900687e-05
56 -0.00013291795586800983 -2.2377658295750277e-05
57 -0.000254175003533095 -2.0949747094995953e-05
58 1.5155507776981745e-05 -1.879848614122793e-05
59 -0.00017575834455907854 -1.7463023962713035e-05
60 -0.0001752773880894877 -1.925431945469984e-05
61 -0.00015581132541609625 -1.8402899580973167e-05
62 -9.513956937737275e-05 -1.7321153817183612e-05
63 -4.956619999772124e-05 -2.4360990645284328e-05
64 -0.00016391494223832065 -2.5358029834904902e-05
65 -1.8696114951558942e-06 -1.8651162053954567e-05
66 -0.00011619258449118362 -1.736558135333564e-05
67 -0.0001274944850883083 -1.6518028723633186e-05
68 -8.032209056819606e-05 -2.1524102482785525e-05
69 -2.24590468674134e-05 -2.0219558356409398e-05
70 -0.00012097954405126748 -2.2068564007934343e-05
71 -8.525470261093218e-05 -2.143857469967967e-05
72 -7.629991532900394e-05 -1.7367183971099363e-05
73 -1.7658633543470306e-05 -1.6705296201328947e-05
74 -3.715771836815057e-05 -2.1356327772310318e-05
75 -3.2447165732624865e-05 -2.0098369674719977e-05
76 -9.177429362749442e-05 -2.1001861359064395e-05
77 -8.100460142831177e-05 -1.9097629074866956e-05
78 -4.613508159915606e-05 -1.8806328089573446e-05
79 -0.00010051416960197296 -2.0344620915474713e-05
80 -7.191366593000556e-05 -1.9631024842758126e-05
81 -8.648995739909318e-05 -2.4507435150126108e-05
82 -4.568222798725479e-05 -1.5147039640238482e-05
83 -4.576966484897157e-05 -1.9321819114634116e-05
