 Linear2 Linear1 Linear0
10 [0.0974] [0.1704] [0.1009]
20 [0.1784] [0.1713] [0.1882]
40 [0.1705] [0.1763] [0.1593]
80 [0.1689] [0.1729] [0.171]
160 [0.169] [0.1643] [0.1709]
320 [0.1646] [0.1716] [0.1749]
640 [0.1581] [0.1706] [0.176]
1280 [0.1568] [0.1597] [0.1763]
2560 [0.1658] [0.1688] [0.1923]
5120 [0.168] [0.175] [0.193]
10240 [0.1719] [0.1717] [0.1821]
20480 [0.1698] [0.1738] [0.1822]
