 Linear2 Linear1 Linear0
10 [0.9162] [0.6816] [0.4218]
20 [0.9417] [0.8196] [0.5727]
40 [0.9533] [0.8983] [0.7133]
80 [0.9586] [0.9253] [0.753]
160 [0.9606] [0.9448] [0.8514]
320 [0.9646] [0.9507] [0.8874]
640 [0.9644] [0.9532] [0.9149]
1280 [0.9662] [0.9591] [0.9278]
2560 [0.9668] [0.9646] [0.9443]
5120 [0.9671] [0.9663] [0.9547]
10240 [0.9684] [0.9678] [0.9595]
20480 [0.9686] [0.9695] [0.9665]
