 Linear2 Linear1 Linear0
10 [0.9757] [0.923] [0.6496]
20 [0.9737] [0.9734] [0.68]
40 [0.9786] [0.9727] [0.8135]
80 [0.9755] [0.979] [0.8556]
160 [0.9693] [0.9789] [0.9582]
320 [0.9701] [0.9784] [0.9628]
640 [0.9644] [0.977] [0.9661]
1280 [0.9636] [0.9782] [0.9696]
2560 [0.967] [0.9792] [0.9727]
5120 [0.969] [0.9793] [0.9749]
10240 [0.9724] [0.9807] [0.9785]
20480 [0.974] [0.9817] [0.9799]
