 Linear2 Linear1 Linear0
10 [0.8102] [0.6199] [0.4687]
20 [0.8597] [0.7084] [0.5338]
40 [0.9254] [0.8088] [0.6518]
80 [0.9384] [0.8732] [0.715]
160 [0.9468] [0.9097] [0.8257]
320 [0.9487] [0.9242] [0.8665]
640 [0.9503] [0.9313] [0.8977]
1280 [0.9523] [0.9391] [0.911]
2560 [0.9554] [0.9451] [0.9306]
5120 [0.9547] [0.9483] [0.9408]
10240 [0.9563] [0.9505] [0.9478]
20480 [0.9588] [0.9544] [0.9564]
