 Linear2 Linear1 Linear0
10 [0.9602] [0.8288] [0.4623]
20 [0.981] [0.9024] [0.5749]
40 [0.9764] [0.9623] [0.7634]
80 [0.9786] [0.9701] [0.8632]
160 [0.9772] [0.9784] [0.9194]
320 [0.9792] [0.9809] [0.9455]
640 [0.9836] [0.9805] [0.9517]
1280 [0.9828] [0.9811] [0.9582]
2560 [0.9833] [0.9806] [0.9639]
5120 [0.9829] [0.9819] [0.97]
10240 [0.9836] [0.9819] [0.9755]
20480 [0.9841] [0.9824] [0.9795]
