 X Y
0 -0.0007895688925470624 -0.0009771819625582015
1 -0.0006608739495277405 -0.0005764759012631007
2 -0.0004454993066333589 -0.0005458188908440727
3 -0.0005037035970460801 -0.00033431251843770343
4 -0.0002365729638508388 -0.0003106877917335147
5 -0.0003413685730525425 -0.0003379590454555693
6 -0.00017893349840527489 -0.0002898190702710833
7 -0.0005536565468424843 -0.00030617593299774894
8 -0.00028634035871142433 -0.00026607229596092586
9 -0.00022080114909580776 -0.0002966860220545814
10 -0.000893649955590566 -0.0002494674353372483
11 -9.332952045259022e-05 -0.00019944743031547184
12 -0.0004540543471063886 -0.00026231897728783745
13 -0.00031323908340363273 -0.00022249739794504074
14 -0.00028663199572336105 -0.00021576597577049617
15 -0.0003455717648778643 -0.00017887744165602184
16 -0.0004551992529914493 -0.0001771230073202224
17 -0.0001435460788863046 -0.00019562741120656332
18 -0.00021009466477802822 -0.00019338514123644148
19 -0.0005352266487621126 -0.00016379817610695247
20 -0.00033521049079440887 -0.0001394681277729216
21 -0.00039097028119223457 -0.00015301647640409923
22 -8.957371825263613e-06 -0.00017337430091131302
23 -0.0003494726760046823 -0.00015220933017276583
24 -5.130469799041748e-05 -0.0001455729915982201
25 -0.00020953125896907987 -0.00011850928976422264
26 -0.00035480126028969173 -9.7608137987331e-05
27 -0.0004168550173441569 -0.00010631304411661058
28 -0.0003715984168506804 -0.0001300662046387082
29 -0.0002777984454518273 -9.38986028943743e-05
30 -0.0004629216023853847 -0.00011898470776421683
31 -0.0005685914130437942 -0.00010317528531664894
32 -0.0006804448508080982 -7.779151201248169e-05
33 -0.0001527393857638041 -7.898218574978056e-05
34 -0.00035229076941808063 -5.9491112118675594e-05
35 -0.00044996149483181183 -9.855060350327265e-05
36 -0.0006720714625858125 -7.007625840959095e-05
37 -0.0002693445200011844 -7.167777844837733e-05
38 -0.0006264597177505493 -5.792400666645595e-05
39 -0.0001314608823685419 -6.009851183210101e-05
40 -0.0006782394789514088 -5.711792480377924e-05
41 -0.0005567080917812529 -4.8860907554626465e-05
42 -0.00030629620665595646 -3.7934453714461556e-05
43 -0.0004665851593017578 -4.21078432173956e-05
44 -0.00019989127204531716 -5.346997862770444e-05
45 -0.0006023876014209929 -4.10651167233785e-05
46 -0.00016623238722483316 -2.654074203400385e-05
47 -0.00035845027083442326 -3.085746651604062e-05
48 -0.00010070027340026129 -3.791529507864089e-05
49 -0.00019911144460950579 -2.800992556980678e-05
50 -0.00028940254733676 -3.152624482200259e-05
51 -5.824296247391474e-05 -1.574697948637463e-05
52 -0.00015274896508171444 -2.227971951166789e-05
53 -0.00010141304561070033 -2.7783215045928955e-05
54 -0.00042426657109033493 -3.061372609365554e-05
55 -0.00014681652897880192 -3.493719157718477e-05
56 -0.00014247638838631765 -3.086917457126436e-05
57 -0.0002171177239645095 -1.6407242843082974e-05
58 -0.00020447657221839543 -2.2994975248972576e-05
59 -0.00026545070466541107 -1.7223258813222248e-05
60 -0.00016824333440689814 -2.11475860504877e-05
61 -0.00020468164057958695 -2.2949207396734328e-05
62 -7.336764108567011e-05 -2.5529946599687848e-05
63 -0.0005275624848547436 -1.3112312271481469e-05
64 -0.0004027964813368661 -2.9198470569792246e-05
65 -0.0001260961095492045 -3.0648850259326754e-05
66 1.4402681872958229e-05 -2.8253311202639625e-05
67 0.00012553376810891287 -1.622026874905541e-05
68 -0.00010921025560015724 -1.616953384308588e-05
69 -0.0001709645702725365 -8.130712168557303e-06
70 3.4299279962267194e-05 -1.0468065738677979e-05
71 -0.00044356960625875565 -2.9625282401130314e-05
72 -0.00023813190914335705 -1.83550374848502e-05
73 -0.0006742491608574277 -3.811326764878773e-05
74 -0.00013758703356697445 -1.4236995152064732e-05
75 -0.00011482763858068557 -2.131185361317226e-05
76 -0.00015312575158618746 -3.436136813390822e-05
77 -0.00024115116823287237 -2.1616263048989432e-05
78 -0.00038359420640128 -2.8505921363830566e-05
79 -5.05915709904262e-05 -1.967698335647583e-05
80 -0.00020932086876460483 -2.2480530398232596e-05
81 -0.00025293372926257903 -3.365711087272281e-05
82 -0.00048509062755675546 -2.2147737798236666e-05
83 -9.652901263464065e-05 -2.9165120351882207e-05
84 -0.00037736126354762485 -2.303009941464379e-05
85 -0.0005523860454559326 -2.875250010263352e-05
86 -0.0002688907441638765 -1.5834967295328777e-05
87 -0.0001267691453297933 -1.4541049798329672e-05
88 -0.000144826869169871 -2.288499048777989e-05
89 -0.00022397864432561966 -2.3261776992252896e-05
90 -0.00034647718781516667 -2.5380225408644902e-05
91 -0.0003415778988883609 -1.4194065616244361e-05
92 -7.229866016478765e-05 -2.4104402178809758e-05
93 -7.824173995426723e-06 -2.472634826387678e-05
94 -0.00018428053174700056 -1.6184080214727492e-05
95 -0.0003212896131333851 -2.4674194199698312e-05
96 -0.00039734478507723125 -1.1231572855086553e-05
97 -0.00019266243491853987 -3.1573431832449774e-05
98 -0.0002634131482669285 -2.3863854862394785e-05
99 -0.00010724117358525594 -9.748552526746477e-06
100 -6.510281846636818e-05 -1.4062083902813139e-05
101 3.2410735175723125e-05 -2.6101512568337576e-05
102 -0.00021298690920784359 -2.033511797587077e-05
103 -0.00027340402205785114 -2.1227058910188222e-05
104 -0.00015567091410745404 -2.118803205944243e-05
105 -0.00043036966096787223 -2.2038462616148448e-05
106 0.00011121304262252081 -1.7422295752025785e-05
107 -0.00022881939297630672 -1.958580244155157e-05
108 -0.00027014315128326416 -1.730521519978841e-05
109 -0.00020798295736312866 -9.670498825254895e-06
110 -0.0005284622311592102 -3.074748175484794e-05
111 -1.268372649238223e-05 -2.02932528087071e-05
112 0.00017703111682619368 -2.6107543990725563e-05
113 -0.0006031638809612819 -2.111494541168213e-05
114 -0.00037207880190440586 -1.9499943369910832e-05
115 0.0001098520699001494 -1.963192508334205e-05
116 -0.00011996215298062279 -1.7012159029642742e-05
117 -0.0005758791452362424 -2.675680887131464e-05
118 -0.00048470603568213325 -1.5368773823692684e-05
119 -0.00020193876255126226 -1.752482993262155e-05
120 -5.786759512765067e-05 -1.700896592367263e-05
121 -0.0001445519072668893 -1.4885905243101574e-05
122 -0.00025463210684912544 -3.7948290506998697e-06
123 5.0364150887443904e-05 -3.782730726968675e-05
124 -5.219876766204834e-05 -2.1718797229585195e-05
125 -0.00020397631894974482 -2.277713446390061e-05
126 -0.00036094727970304943 -2.607064587729318e-05
127 -0.00024021736213139126 -2.6224624542962937e-05
128 -1.4553467432657878e-06 -1.376512504759289e-05
129 -0.0002938352880023775 -2.8423255398159936e-05
130 -0.00017152229944864908 -2.1401615369887578e-05
131 -9.690012250627791e-06 -1.4721282890864781e-05
