 Linear2 Linear1 Linear0
10 [0.9831] [0.9448] [0.5392]
20 [0.9786] [0.9614] [0.5637]
40 [0.979] [0.9815] [0.7664]
80 [0.9802] [0.9818] [0.9057]
160 [0.9748] [0.9822] [0.9499]
320 [0.9722] [0.9808] [0.9609]
640 [0.9753] [0.9832] [0.9638]
1280 [0.978] [0.9835] [0.9682]
2560 [0.9814] [0.9836] [0.9703]
5120 [0.9805] [0.9834] [0.9729]
10240 [0.9815] [0.9835] [0.9778]
20480 [0.9816] [0.9834] [0.9796]
