 Linear2 Linear1 Linear0
10 [0.9546] [0.6149] [0.6212]
20 [0.9754] [0.8712] [0.6512]
40 [0.9791] [0.9278] [0.8182]
80 [0.9781] [0.9466] [0.8627]
160 [0.9784] [0.9603] [0.9014]
320 [0.9796] [0.968] [0.9284]
640 [0.9798] [0.9729] [0.9422]
1280 [0.981] [0.9757] [0.9561]
2560 [0.9799] [0.9778] [0.9632]
5120 [0.9802] [0.9776] [0.9711]
10240 [0.9804] [0.9786] [0.9756]
20480 [0.9806] [0.9805] [0.98]
