 Linear2 Linear1 Linear0
10 [0.9758] [0.7602] [0.5441]
20 [0.9438] [0.8719] [0.5926]
40 [0.9832] [0.966] [0.797]
80 [0.977] [0.9656] [0.8989]
160 [0.9716] [0.9795] [0.9315]
320 [0.978] [0.9823] [0.9502]
640 [0.9817] [0.983] [0.9562]
1280 [0.9829] [0.9825] [0.9626]
2560 [0.9841] [0.9833] [0.9685]
5120 [0.9843] [0.984] [0.9715]
10240 [0.9847] [0.9841] [0.9771]
20480 [0.9847] [0.9853] [0.9801]
