 Linear2
10 [0.7504]
20 [0.911]
40 [0.9658]
80 [0.9785]
160 [0.9779]
320 [0.9837]
640 [0.9829]
1280 [0.9828]
2560 [0.9828]
5120 [0.9847]
10240 [0.9767]
20480 [0.9843]
