 Linear2
10 "[0.1448, 0.1567, 0.1388, 0.1863, 0.2102, 0.1457, 0.2098, 0.2004, 0.1605, 0.1959, 0.162, 0.1774, 0.1692, 0.175, 0.1866, 0.1552, 0.1599, 0.1894, 0.1556, 0.15]"
20 "[0.2323, 0.2052, 0.2547, 0.2522, 0.2593, 0.2289, 0.2601, 0.2752, 0.2788, 0.1921, 0.2407, 0.2461, 0.2654, 0.2423, 0.2457, 0.2634, 0.2419, 0.222, 0.2379, 0.2335]"
40 "[0.3275, 0.3352, 0.3212, 0.3554, 0.3438, 0.369, 0.3551, 0.3443, 0.3381, 0.3453, 0.3667, 0.3724, 0.3395, 0.3621, 0.3334, 0.3435, 0.3844, 0.3395, 0.3571, 0.3355]"
80 "[0.47, 0.4809, 0.4771, 0.4878, 0.5021, 0.4365, 0.5095, 0.4735, 0.4546, 0.4838, 0.4839, 0.4844, 0.4834, 0.4831, 0.473, 0.462, 0.4643, 0.5402, 0.4537, 0.5041]"
160 "[0.6566, 0.6349, 0.6108, 0.6152, 0.6261, 0.6332, 0.6019, 0.6436, 0.6171, 0.6164, 0.6373, 0.6295, 0.6386, 0.5892, 0.6271, 0.6298, 0.6108, 0.6062, 0.6146, 0.6021]"
320 "[0.7353, 0.7319, 0.7096, 0.7305, 0.7234, 0.7416, 0.7267, 0.7146, 0.7289, 0.7331, 0.7182, 0.7396, 0.7377, 0.7329, 0.7326, 0.7339, 0.729, 0.7176, 0.714, 0.7487]"
640 "[0.8062, 0.7616, 0.8077, 0.7954, 0.8145, 0.8122, 0.8115, 0.8138, 0.8119, 0.8101, 0.7987, 0.7939, 0.8116, 0.7951, 0.7834, 0.8037, 0.8029, 0.8108, 0.7943, 0.8092]"
1280 "[0.8479, 0.8408, 0.8405, 0.8468, 0.8498, 0.8435, 0.8424, 0.8497, 0.845, 0.8473, 0.8492, 0.8466, 0.8393, 0.842, 0.846, 0.8521, 0.8428, 0.8313, 0.8433, 0.8406]"
2560 "[0.854, 0.8721, 0.8726, 0.872, 0.8745, 0.8665, 0.8726, 0.8672, 0.8677, 0.8609, 0.8695, 0.8636, 0.8711, 0.8609, 0.8545, 0.8616, 0.8711, 0.8625, 0.8686, 0.8584]"
5120 "[0.8831, 0.8766, 0.8804, 0.8801, 0.8821, 0.8804, 0.8766, 0.8777, 0.8771, 0.8728, 0.8614, 0.8836, 0.8791, 0.8778, 0.8792, 0.8743, 0.8636, 0.8744, 0.8771, 0.8832]"
10240 "[0.8889, 0.8902, 0.8908, 0.8704, 0.8919, 0.884, 0.8783, 0.8898, 0.8858, 0.884, 0.8838, 0.8838, 0.8815, 0.8861, 0.8824, 0.8825, 0.8907, 0.8889, 0.8848, 0.8856]"
20480 "[0.8883, 0.8861, 0.886, 0.8874, 0.8811, 0.8846, 0.8845, 0.8868, 0.8912, 0.8862, 0.8941, 0.8824, 0.8936, 0.8884, 0.8811, 0.8871, 0.8844, 0.8894, 0.8865, 0.8847]"
